id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,customer_category,income_group
299,59,Male,36383,5,6,31,Groceries,82.77,Over-fifties,"Bad customer","Lower-Mid Income"
300,55,Other,144624,38,2,23,Groceries,652.26,Over-fifties,"Medium customer",Affluent
301,52,Female,106147,2,6,19,Groceries,412.65,Over-fifties,"Bad customer","Upper-Mid Income"
302,50,Other,130668,39,5,25,"Home & Garden",69.81,Over-fifties,"Medium customer",Affluent
303,59,Female,57745,33,7,42,Electronics,492.87,Over-fifties,"Medium customer","Lower-Mid Income"
304,50,Female,78296,93,9,47,Electronics,559.16,Over-fifties,"Great customer","Middle Income"
305,32,Male,39407,50,6,13,Sports,844.22,Over-thirties,"Medium customer","Lower-Mid Income"
306,48,Male,39407,82,5,27,Sports,463.07,Over-forties,"Great customer","Lower-Mid Income"
307,26,Other,135530,81,2,12,"Home & Garden",126.35,"Young adult","Great customer",Affluent
308,54,Female,76995,14,3,46,Electronics,685.09,Over-fifties,"Bad customer","Middle Income"
309,64,Female,96182,44,4,8,Groceries,509.31,Seniors,"Medium customer","Upper-Mid Income"
310,50,Male,100320,45,7,29,Sports,139.39,Over-fifties,"Medium customer","Upper-Mid Income"
311,53,Male,138922,45,5,22,Electronics,154.06,Over-fifties,"Medium customer",Affluent
312,30,Male,143200,38,8,30,Sports,684.43,Over-thirties,"Medium customer",Affluent
313,69,Other,35218,47,4,33,Electronics,315.49,Seniors,"Medium customer","Lower-Mid Income"
314,44,Male,141748,55,2,50,Groceries,897.57,Over-forties,"Good customer",Affluent
315,68,Female,62971,27,8,17,Electronics,85.45,Seniors,"Medium customer","Middle Income"
316,20,Female,57260,47,2,49,Electronics,506.7,"Young adult","Medium customer","Lower-Mid Income"
317,18,Other,92363,84,1,10,Electronics,539.74,"Young adult","Great customer","Upper-Mid Income"
318,23,Other,84664,45,5,12,Electronics,592.72,"Young adult","Medium customer","Middle Income"
319,61,Other,47790,67,9,5,"Home & Garden",714.29,Seniors,"Good customer","Lower-Mid Income"
320,34,Male,31668,43,5,40,Clothing,117.01,Over-thirties,"Medium customer","Lower-Mid Income"
321,43,Female,78858,4,3,38,Sports,261.19,Over-forties,"Bad customer","Middle Income"
322,46,Other,126553,16,2,22,"Home & Garden",85.56,Over-forties,"Bad customer",Affluent
323,55,Other,80006,44,2,49,Clothing,727.51,Over-fifties,"Medium customer","Middle Income"
324,30,Male,119162,15,9,38,"Home & Garden",937.85,Over-thirties,"Bad customer","Upper-Mid Income"
325,41,Other,71410,69,1,32,"Home & Garden",456.67,Over-forties,"Good customer","Middle Income"
326,59,Other,49020,100,2,42,Groceries,588.18,Over-fifties,"Great customer","Lower-Mid Income"
327,50,Male,36022,11,6,49,Clothing,801.59,Over-fifties,"Bad customer","Lower-Mid Income"
328,41,Female,64634,55,9,44,Groceries,488.07,Over-forties,"Good customer","Middle Income"
329,68,Other,76921,79,1,23,Groceries,122.02,Seniors,"Great customer","Middle Income"
330,28,Male,51087,60,4,42,Groceries,68.31,"Young adult","Good customer","Lower-Mid Income"
331,30,Male,90651,88,9,37,Groceries,555.41,Over-thirties,"Great customer","Upper-Mid Income"
332,38,Other,50518,70,1,38,Sports,816.09,Over-thirties,"Good customer","Lower-Mid Income"
333,21,Other,126598,14,3,1,Sports,505.98,"Young adult","Bad customer",Affluent
334,58,Other,99475,27,9,9,Groceries,249.39,Over-fifties,"Medium customer","Upper-Mid Income"
335,60,Male,145308,83,3,31,Groceries,53.26,Seniors,"Great customer",Affluent
336,40,Other,107488,96,7,16,Groceries,843.6,Over-forties,"Great customer","Upper-Mid Income"
337,58,Male,60768,88,2,38,Groceries,67.52,Over-fifties,"Great customer","Middle Income"
338,42,Other,115381,70,7,33,"Home & Garden",592.52,Over-forties,"Good customer","Upper-Mid Income"
339,28,Female,111697,92,9,50,Sports,205.58,"Young adult","Great customer","Upper-Mid Income"
340,48,Other,30374,28,7,34,Groceries,463.78,Over-forties,"Medium customer","Lower-Mid Income"
341,31,Other,35406,45,10,9,Electronics,637.02,Over-thirties,"Medium customer","Lower-Mid Income"
342,69,Female,71688,69,4,25,Clothing,532.23,Seniors,"Good customer","Middle Income"
343,32,Male,48445,91,8,27,"Home & Garden",265.17,Over-thirties,"Great customer","Lower-Mid Income"
344,41,Male,136928,42,5,33,"Home & Garden",239.72,Over-forties,"Medium customer",Affluent
345,33,Male,112118,27,10,9,Clothing,535.28,Over-thirties,"Medium customer","Upper-Mid Income"
346,62,Female,114587,14,7,11,Electronics,26.72,Seniors,"Bad customer","Upper-Mid Income"
347,38,Female,42378,36,5,20,Sports,279.77,Over-thirties,"Medium customer","Lower-Mid Income"
348,39,Female,136141,58,6,30,"Home & Garden",211.56,Over-thirties,"Good customer",Affluent
349,44,Male,32030,38,2,19,Sports,912.15,Over-forties,"Medium customer","Lower-Mid Income"
350,56,Female,148694,44,7,13,Electronics,326.5,Over-fifties,"Medium customer",Affluent
351,68,Other,122661,16,4,48,Groceries,85.44,Seniors,"Bad customer",Affluent
352,47,Female,54571,57,4,2,Electronics,138.3,Over-forties,"Good customer","Lower-Mid Income"
353,61,Other,120516,100,10,47,"Home & Garden",475.52,Seniors,"Great customer",Affluent
354,63,Other,37003,57,4,25,Sports,857.68,Seniors,"Good customer","Lower-Mid Income"
355,38,Other,81837,68,5,6,Sports,349.35,Over-thirties,"Good customer","Middle Income"
356,32,Other,94627,88,9,30,Clothing,703.94,Over-thirties,"Great customer","Upper-Mid Income"
357,49,Other,103191,34,5,41,Clothing,253.63,Over-forties,"Medium customer","Upper-Mid Income"
358,57,Male,137205,18,1,21,Electronics,862.12,Over-fifties,"Bad customer",Affluent
359,50,Male,85888,19,2,25,Groceries,910.52,Over-fifties,"Bad customer","Middle Income"
360,38,Male,40590,91,7,27,Electronics,617.64,Over-thirties,"Great customer","Lower-Mid Income"
361,28,Female,130938,98,5,37,Electronics,612.09,"Young adult","Great customer",Affluent
362,21,Male,107934,32,5,38,"Home & Garden",533.18,"Young adult","Medium customer","Upper-Mid Income"
363,26,Other,149741,51,4,37,"Home & Garden",685.36,"Young adult","Good customer",Affluent
364,63,Other,145117,66,7,12,Sports,971.02,Seniors,"Good customer",Affluent
365,21,Other,90000,42,4,23,"Home & Garden",278.15,"Young adult","Medium customer","Upper-Mid Income"
366,19,Other,105019,84,8,32,Clothing,735.3,"Young adult","Great customer","Upper-Mid Income"
367,65,Female,65576,91,5,12,Clothing,782.55,Seniors,"Great customer","Middle Income"
368,53,Female,130474,74,10,39,"Home & Garden",217.92,Over-fifties,"Good customer",Affluent
369,63,Other,77411,20,2,37,Sports,648.38,Seniors,"Bad customer","Middle Income"
370,23,Female,30751,99,9,26,Electronics,696.9,"Young adult","Great customer","Lower-Mid Income"
371,20,Male,87520,93,4,3,Groceries,459.87,"Young adult","Great customer","Middle Income"
372,39,Female,53805,71,5,16,Sports,372.03,Over-thirties,"Good customer","Lower-Mid Income"
373,30,Other,80320,91,1,31,Electronics,930.97,Over-thirties,"Great customer","Middle Income"
374,64,Other,84380,69,10,28,Sports,212.08,Seniors,"Good customer","Middle Income"
375,33,Female,58367,11,4,29,Groceries,826.87,Over-thirties,"Bad customer","Lower-Mid Income"
376,25,Female,56110,36,5,42,Electronics,389.97,"Young adult","Medium customer","Lower-Mid Income"
377,46,Male,123037,100,1,9,"Home & Garden",617.74,Over-forties,"Great customer",Affluent
378,45,Female,110174,87,5,32,"Home & Garden",388.15,Over-forties,"Great customer","Upper-Mid Income"
379,41,Female,30074,95,8,19,Clothing,78.82,Over-forties,"Great customer","Lower-Mid Income"
380,59,Other,140349,75,2,6,Sports,383.64,Over-fifties,"Good customer",Affluent
381,67,Female,104036,56,10,37,Sports,998.98,Seniors,"Good customer","Upper-Mid Income"
382,68,Other,93926,45,5,22,Electronics,19.14,Seniors,"Medium customer","Upper-Mid Income"
383,65,Male,124796,4,5,38,Sports,247.96,Seniors,"Bad customer",Affluent
384,46,Male,120914,1,1,41,"Home & Garden",329.9,Over-forties,"Bad customer",Affluent
385,38,Male,78829,73,7,20,Sports,665.25,Over-thirties,"Good customer","Middle Income"
386,69,Male,105810,57,6,28,Groceries,985.94,Seniors,"Good customer","Upper-Mid Income"
387,51,Female,105658,49,9,9,Electronics,785.55,Over-fifties,"Medium customer","Upper-Mid Income"
388,25,Female,100053,6,5,33,Electronics,832.57,"Young adult","Bad customer","Upper-Mid Income"
389,34,Other,118622,99,4,47,Sports,122.21,Over-thirties,"Great customer","Upper-Mid Income"
390,37,Male,65343,89,3,2,Electronics,668.23,Over-thirties,"Great customer","Middle Income"
391,67,Female,101759,57,3,19,Sports,670.51,Seniors,"Good customer","Upper-Mid Income"
392,28,Male,59278,60,2,8,"Home & Garden",362.41,"Young adult","Good customer","Lower-Mid Income"
393,55,Female,127542,79,8,12,Clothing,632.6,Over-fifties,"Great customer",Affluent
394,69,Female,74331,83,9,11,Clothing,341.63,Seniors,"Great customer","Middle Income"
395,69,Female,119075,40,8,44,"Home & Garden",866.72,Seniors,"Medium customer","Upper-Mid Income"
396,54,Other,87418,21,2,27,Groceries,846.76,Over-fifties,"Bad customer","Middle Income"
397,23,Other,37713,11,8,31,Electronics,481.24,"Young adult","Bad customer","Lower-Mid Income"
398,48,Male,36282,14,10,3,Sports,210.43,Over-forties,"Bad customer","Lower-Mid Income"
399,19,Female,69790,3,9,38,Groceries,596.63,"Young adult","Bad customer","Middle Income"
400,41,Female,147962,90,2,9,Clothing,688.61,Over-forties,"Great customer",Affluent
401,32,Other,86268,96,3,21,Electronics,643.36,Over-thirties,"Great customer","Middle Income"
402,63,Male,149062,66,9,7,Clothing,441.11,Seniors,"Good customer",Affluent
403,40,Other,127948,29,6,26,Groceries,144.78,Over-forties,"Medium customer",Affluent
404,36,Male,30121,39,10,16,Groceries,233.08,Over-thirties,"Medium customer","Lower-Mid Income"
405,21,Male,42889,12,2,20,"Home & Garden",789.92,"Young adult","Bad customer","Lower-Mid Income"
406,29,Other,141369,42,10,16,"Home & Garden",862.54,"Young adult","Medium customer",Affluent
407,24,Other,119844,78,4,6,Groceries,572.31,"Young adult","Great customer","Upper-Mid Income"
408,40,Other,135305,54,8,29,Clothing,831.6,Over-forties,"Good customer",Affluent
409,63,Female,70967,59,6,10,"Home & Garden",954.05,Seniors,"Good customer","Middle Income"
410,20,Female,98213,12,5,37,"Home & Garden",902.24,"Young adult","Bad customer","Upper-Mid Income"
411,43,Female,89856,96,3,2,Clothing,114.47,Over-forties,"Great customer","Middle Income"
412,61,Other,80988,34,8,14,Clothing,937.86,Seniors,"Medium customer","Middle Income"
413,19,Female,105731,9,7,10,"Home & Garden",421.08,"Young adult","Bad customer","Upper-Mid Income"
414,69,Female,117737,6,4,9,Groceries,877.51,Seniors,"Bad customer","Upper-Mid Income"
415,57,Male,52164,53,3,36,Groceries,710.84,Over-fifties,"Good customer","Lower-Mid Income"
416,38,Other,51327,62,5,24,Sports,645.43,Over-thirties,"Good customer","Lower-Mid Income"
417,52,Other,101105,11,9,2,"Home & Garden",714.72,Over-fifties,"Bad customer","Upper-Mid Income"
418,51,Female,97565,48,10,31,Clothing,656.9,Over-fifties,"Medium customer","Upper-Mid Income"
419,64,Other,71594,40,4,42,Clothing,487.73,Seniors,"Medium customer","Middle Income"
420,46,Male,60671,57,5,48,"Home & Garden",817.69,Over-forties,"Good customer","Middle Income"
421,46,Female,90871,56,4,39,Clothing,592.97,Over-forties,"Good customer","Upper-Mid Income"
422,56,Other,36843,46,7,12,"Home & Garden",22.15,Over-fifties,"Medium customer","Lower-Mid Income"
423,62,Female,96260,30,6,45,Electronics,159.13,Seniors,"Medium customer","Upper-Mid Income"
424,56,Male,134502,46,5,5,Groceries,394.49,Over-fifties,"Medium customer",Affluent
425,41,Male,67039,100,1,36,Electronics,178.68,Over-forties,"Great customer","Middle Income"
426,40,Other,142251,90,10,14,Electronics,866.52,Over-forties,"Great customer",Affluent
427,47,Female,49336,11,10,11,Sports,877.17,Over-forties,"Bad customer","Lower-Mid Income"
428,54,Other,90780,24,3,46,Groceries,824.65,Over-fifties,"Bad customer","Upper-Mid Income"
429,20,Male,49308,29,6,19,Electronics,351.64,"Young adult","Medium customer","Lower-Mid Income"
430,64,Other,124369,74,2,3,"Home & Garden",275.4,Seniors,"Good customer",Affluent
431,40,Male,99618,80,4,22,Groceries,15.04,Over-forties,"Great customer","Upper-Mid Income"
432,29,Female,133291,52,4,42,Clothing,916.28,"Young adult","Good customer",Affluent
433,44,Female,100832,90,8,39,Electronics,769,Over-forties,"Great customer","Upper-Mid Income"
434,57,Male,60668,66,6,28,Electronics,984.6,Over-fifties,"Good customer","Middle Income"
435,32,Female,69782,76,1,9,"Home & Garden",803.28,Over-thirties,"Great customer","Middle Income"
436,52,Other,136827,87,5,20,Sports,322.29,Over-fifties,"Great customer",Affluent
437,48,Other,51565,44,5,20,Groceries,552.48,Over-forties,"Medium customer","Lower-Mid Income"
438,47,Female,95033,25,3,35,Electronics,273.38,Over-forties,"Bad customer","Upper-Mid Income"
439,63,Female,118402,74,3,12,Sports,828.04,Seniors,"Good customer","Upper-Mid Income"
440,23,Female,130546,71,9,36,Sports,799.33,"Young adult","Good customer",Affluent
441,46,Male,68970,50,9,46,Clothing,392.35,Over-forties,"Medium customer","Middle Income"
442,26,Female,84460,45,1,33,Clothing,219.67,"Young adult","Medium customer","Middle Income"
443,47,Other,138199,79,10,43,Electronics,171.38,Over-forties,"Great customer",Affluent
444,62,Other,59481,30,4,35,Clothing,121,Seniors,"Medium customer","Lower-Mid Income"
445,62,Female,75974,68,4,46,Groceries,180.09,Seniors,"Good customer","Middle Income"
446,53,Male,56570,29,7,37,Electronics,432.65,Over-fifties,"Medium customer","Lower-Mid Income"
447,27,Other,68689,83,8,33,Groceries,782.58,"Young adult","Great customer","Middle Income"
448,31,Female,46106,72,7,2,Sports,59.82,Over-thirties,"Good customer","Lower-Mid Income"
449,50,Male,46524,1,4,7,"Home & Garden",371.62,Over-fifties,"Bad customer","Lower-Mid Income"
450,48,Male,60382,13,3,27,Electronics,694.59,Over-forties,"Bad customer","Middle Income"
451,24,Other,147555,65,4,28,Groceries,434.84,"Young adult","Good customer",Affluent
452,45,Female,93800,33,10,32,Sports,391.45,Over-forties,"Medium customer","Upper-Mid Income"
453,30,Male,35565,83,8,17,Electronics,238.79,Over-thirties,"Great customer","Lower-Mid Income"
454,27,Male,143992,31,2,32,"Home & Garden",994.1,"Young adult","Medium customer",Affluent
455,28,Other,126571,82,10,8,Electronics,26.12,"Young adult","Great customer",Affluent
456,61,Other,57851,46,3,5,Clothing,604.29,Seniors,"Medium customer","Lower-Mid Income"
457,30,Other,120083,47,1,49,Electronics,443.12,Over-thirties,"Medium customer",Affluent
458,62,Male,32827,69,8,2,Groceries,468.37,Seniors,"Good customer","Lower-Mid Income"
459,30,Other,100399,96,2,5,Clothing,705.64,Over-thirties,"Great customer","Upper-Mid Income"
460,55,Female,105647,94,1,14,Sports,737.91,Over-fifties,"Great customer","Upper-Mid Income"
461,41,Male,141605,100,4,20,"Home & Garden",693.02,Over-forties,"Great customer",Affluent
462,57,Female,46563,86,4,24,Electronics,800.46,Over-fifties,"Great customer","Lower-Mid Income"
463,53,Male,37569,18,8,50,Clothing,634.92,Over-fifties,"Bad customer","Lower-Mid Income"
464,65,Female,138529,87,10,14,Sports,461.61,Seniors,"Great customer",Affluent
465,54,Female,40858,48,6,20,Clothing,34.88,Over-fifties,"Medium customer","Lower-Mid Income"
466,69,Other,143640,14,8,2,Clothing,387.39,Seniors,"Bad customer",Affluent
467,25,Male,99668,1,1,50,Groceries,937.86,"Young adult","Bad customer","Upper-Mid Income"
468,54,Male,32276,73,2,44,Clothing,554.58,Over-fifties,"Good customer","Lower-Mid Income"
469,32,Other,100736,84,10,32,Groceries,863.93,Over-thirties,"Great customer","Upper-Mid Income"
470,53,Other,139508,92,6,39,Clothing,172.99,Over-fifties,"Great customer",Affluent
471,32,Male,38683,59,10,47,Groceries,846.85,Over-thirties,"Good customer","Lower-Mid Income"
472,35,Other,42390,27,3,41,Electronics,781.31,Over-thirties,"Medium customer","Lower-Mid Income"
473,53,Female,104435,42,4,34,"Home & Garden",795.81,Over-fifties,"Medium customer","Upper-Mid Income"
474,54,Female,111261,56,1,44,Groceries,216.09,Over-fifties,"Good customer","Upper-Mid Income"
475,36,Other,112674,12,7,35,Groceries,590.32,Over-thirties,"Bad customer","Upper-Mid Income"
476,38,Male,144083,23,1,28,Groceries,158.15,Over-thirties,"Bad customer",Affluent
477,42,Male,115342,19,4,47,Sports,13.69,Over-forties,"Bad customer","Upper-Mid Income"
478,48,Other,143424,24,3,22,"Home & Garden",594.94,Over-forties,"Bad customer",Affluent
479,58,Female,137836,19,9,21,Electronics,172.39,Over-fifties,"Bad customer",Affluent
480,19,Female,35529,62,4,24,Clothing,177.69,"Young adult","Good customer","Lower-Mid Income"
481,54,Male,105641,17,9,37,Sports,173.81,Over-fifties,"Bad customer","Upper-Mid Income"
482,65,Other,120542,52,3,36,Clothing,70.22,Seniors,"Good customer",Affluent
483,44,Female,43069,55,6,33,Groceries,501.34,Over-forties,"Good customer","Lower-Mid Income"
484,40,Male,61052,44,4,17,Groceries,135.19,Over-forties,"Medium customer","Middle Income"
485,65,Male,39113,85,9,42,"Home & Garden",964.87,Seniors,"Great customer","Lower-Mid Income"
486,66,Other,91672,71,5,9,Clothing,10.4,Seniors,"Good customer","Upper-Mid Income"
487,22,Female,104781,64,8,38,"Home & Garden",151.48,"Young adult","Good customer","Upper-Mid Income"
488,47,Other,124597,67,9,8,Clothing,885.33,Over-forties,"Good customer",Affluent
489,26,Female,96845,19,1,5,"Home & Garden",154.89,"Young adult","Bad customer","Upper-Mid Income"
490,19,Female,113254,38,5,35,Clothing,633.5,"Young adult","Medium customer","Upper-Mid Income"
491,22,Female,46900,70,1,24,Groceries,325.46,"Young adult","Good customer","Lower-Mid Income"
492,39,Male,84725,100,8,49,Sports,906.07,Over-thirties,"Great customer","Middle Income"
493,51,Female,120616,71,1,16,Clothing,542.03,Over-fifties,"Good customer",Affluent
494,35,Male,141134,24,4,48,Sports,649.61,Over-thirties,"Bad customer",Affluent
495,59,Male,140809,45,5,45,Sports,917.5,Over-fifties,"Medium customer",Affluent
496,33,Female,65486,76,2,11,Sports,302.05,Over-thirties,"Great customer","Middle Income"
497,56,Male,145254,48,6,43,Sports,422.32,Over-fifties,"Medium customer",Affluent
498,54,Female,43308,56,5,50,Electronics,667.92,Over-fifties,"Good customer","Lower-Mid Income"
499,25,Male,33065,61,7,40,Groceries,317.98,"Young adult","Good customer","Lower-Mid Income"
500,47,Male,69168,16,7,42,Clothing,638.96,Over-forties,"Bad customer","Middle Income"
501,42,Male,129999,73,5,2,Clothing,942.97,Over-forties,"Good customer",Affluent
502,61,Female,41730,2,9,20,Electronics,177.64,Seniors,"Bad customer","Lower-Mid Income"
503,22,Male,75626,52,7,34,Electronics,154.67,"Young adult","Good customer","Middle Income"
504,18,Other,142641,40,7,31,Electronics,240.64,"Young adult","Medium customer",Affluent
505,22,Male,53863,96,10,41,Electronics,491.64,"Young adult","Great customer","Lower-Mid Income"
506,66,Male,149505,79,4,8,Sports,334.95,Seniors,"Great customer",Affluent
507,58,Male,132215,91,8,6,Sports,275.71,Over-fifties,"Great customer",Affluent
508,48,Other,72108,85,8,13,Sports,486.58,Over-forties,"Great customer","Middle Income"
509,68,Other,113760,64,2,37,Sports,462.62,Seniors,"Good customer","Upper-Mid Income"
510,19,Male,111238,7,2,30,Sports,813.37,"Young adult","Bad customer","Upper-Mid Income"
511,24,Other,109039,71,9,41,Sports,606.18,"Young adult","Good customer","Upper-Mid Income"
512,33,Male,132968,49,10,45,Sports,641.53,Over-thirties,"Medium customer",Affluent
513,19,Male,82506,10,5,41,Sports,406.32,"Young adult","Bad customer","Middle Income"
514,69,Female,58668,40,2,15,"Home & Garden",626.35,Seniors,"Medium customer","Lower-Mid Income"
515,28,Male,66961,8,10,22,Groceries,179.82,"Young adult","Bad customer","Middle Income"
516,32,Other,137280,95,6,3,Electronics,31.72,Over-thirties,"Great customer",Affluent
517,18,Other,112021,9,3,11,Groceries,588.37,"Young adult","Bad customer","Upper-Mid Income"
518,45,Female,110280,85,4,21,Groceries,944.07,Over-forties,"Great customer","Upper-Mid Income"
519,45,Female,67753,64,4,48,Sports,926.69,Over-forties,"Good customer","Middle Income"
520,38,Male,54918,1,6,6,Electronics,979.26,Over-thirties,"Bad customer","Lower-Mid Income"
521,69,Other,78534,100,2,9,"Home & Garden",75.03,Seniors,"Great customer","Middle Income"
522,29,Female,51471,96,3,13,"Home & Garden",668.21,"Young adult","Great customer","Lower-Mid Income"
523,32,Female,58144,4,5,16,Electronics,923.37,Over-thirties,"Bad customer","Lower-Mid Income"
524,47,Other,100338,13,9,40,Electronics,48.65,Over-forties,"Bad customer","Upper-Mid Income"
525,33,Female,90232,19,2,8,Clothing,255.08,Over-thirties,"Bad customer","Upper-Mid Income"
526,52,Male,133701,64,1,34,Clothing,534.25,Over-fifties,"Good customer",Affluent
527,62,Female,117704,37,3,48,Sports,112.11,Seniors,"Medium customer","Upper-Mid Income"
528,23,Female,144577,75,1,9,Clothing,826.02,"Young adult","Good customer",Affluent
529,57,Male,139366,39,5,50,Sports,34.5,Over-fifties,"Medium customer",Affluent
530,27,Male,106944,63,1,28,Sports,36.39,"Young adult","Good customer","Upper-Mid Income"
531,61,Male,92031,44,7,11,Sports,573.31,Seniors,"Medium customer","Upper-Mid Income"
532,19,Male,146165,38,9,45,"Home & Garden",819.92,"Young adult","Medium customer",Affluent
533,36,Other,113794,74,1,27,Sports,377.75,Over-thirties,"Good customer","Upper-Mid Income"
534,28,Male,121073,44,3,16,Sports,482.35,"Young adult","Medium customer",Affluent
535,46,Other,61090,3,4,3,Sports,213.68,Over-forties,"Bad customer","Middle Income"
536,62,Female,74474,49,2,18,Sports,933.65,Seniors,"Medium customer","Middle Income"
537,48,Female,57932,70,9,44,"Home & Garden",192.46,Over-forties,"Good customer","Lower-Mid Income"
538,39,Male,49970,53,5,24,Groceries,728.58,Over-thirties,"Good customer","Lower-Mid Income"
539,27,Male,73823,11,8,23,Electronics,27.4,"Young adult","Bad customer","Middle Income"
540,36,Male,37595,88,8,49,Groceries,600.48,Over-thirties,"Great customer","Lower-Mid Income"
541,33,Female,103063,16,3,4,Electronics,998.51,Over-thirties,"Bad customer","Upper-Mid Income"
542,69,Other,86860,70,1,1,Clothing,812.25,Seniors,"Good customer","Middle Income"
543,68,Female,40478,22,4,46,Groceries,954.91,Seniors,"Bad customer","Lower-Mid Income"
544,66,Female,126893,3,1,32,Clothing,199.17,Seniors,"Bad customer",Affluent
545,23,Female,123168,80,4,19,Clothing,860.95,"Young adult","Great customer",Affluent
546,44,Other,112137,37,7,18,Groceries,769.16,Over-forties,"Medium customer","Upper-Mid Income"
547,60,Other,108533,23,9,24,Electronics,506.98,Seniors,"Bad customer","Upper-Mid Income"
548,22,Female,93861,42,6,6,"Home & Garden",73.13,"Young adult","Medium customer","Upper-Mid Income"
549,39,Male,30004,32,6,48,Sports,863.47,Over-thirties,"Medium customer","Lower-Mid Income"
550,53,Male,47499,85,2,45,Sports,338.69,Over-fifties,"Great customer","Lower-Mid Income"
551,50,Male,43965,83,3,17,Electronics,83.38,Over-fifties,"Great customer","Lower-Mid Income"
552,20,Male,51199,100,5,5,Clothing,889.83,"Young adult","Great customer","Lower-Mid Income"
553,69,Male,51759,18,9,14,Sports,563.48,Seniors,"Bad customer","Lower-Mid Income"
554,61,Female,54256,78,3,3,"Home & Garden",886.44,Seniors,"Great customer","Lower-Mid Income"
555,66,Other,53345,100,4,22,Sports,221.75,Seniors,"Great customer","Lower-Mid Income"
556,25,Female,52403,53,1,14,Groceries,73.34,"Young adult","Good customer","Lower-Mid Income"
557,45,Male,95367,83,5,30,"Home & Garden",845.33,Over-forties,"Great customer","Upper-Mid Income"
558,40,Male,62536,84,4,28,Sports,149.07,Over-forties,"Great customer","Middle Income"
559,33,Male,121639,17,7,28,"Home & Garden",422.14,Over-thirties,"Bad customer",Affluent
560,63,Male,82296,61,4,43,"Home & Garden",390.89,Seniors,"Good customer","Middle Income"
561,61,Other,137276,92,5,8,Groceries,482.77,Seniors,"Great customer",Affluent
562,18,Male,143235,46,10,31,Groceries,143.75,"Young adult","Medium customer",Affluent
563,23,Male,143899,10,3,47,Groceries,361.81,"Young adult","Bad customer",Affluent
564,56,Other,134923,18,3,31,Electronics,515.16,Over-fifties,"Bad customer",Affluent
565,68,Other,106635,85,10,30,Electronics,854.95,Seniors,"Great customer","Upper-Mid Income"
566,29,Male,60262,56,4,27,Clothing,452.32,"Young adult","Good customer","Middle Income"
567,22,Other,92601,75,7,49,Electronics,120.76,"Young adult","Good customer","Upper-Mid Income"
568,45,Female,41917,58,8,5,"Home & Garden",870.38,Over-forties,"Good customer","Lower-Mid Income"
569,29,Female,59815,43,6,24,Groceries,105.48,"Young adult","Medium customer","Lower-Mid Income"
570,18,Other,94701,69,8,48,Clothing,760.34,"Young adult","Good customer","Upper-Mid Income"
571,36,Female,31458,40,4,6,Electronics,371.77,Over-thirties,"Medium customer","Lower-Mid Income"
572,19,Male,134193,95,7,44,Electronics,97.65,"Young adult","Great customer",Affluent
573,40,Female,143338,6,8,26,Groceries,491.07,Over-forties,"Bad customer",Affluent
574,48,Other,93084,30,7,5,Clothing,480.55,Over-forties,"Medium customer","Upper-Mid Income"
575,49,Male,55027,62,2,1,Clothing,962.9,Over-forties,"Good customer","Lower-Mid Income"
576,51,Female,149256,96,1,31,Electronics,266.83,Over-fifties,"Great customer",Affluent
577,32,Female,46610,92,5,9,Groceries,409.85,Over-thirties,"Great customer","Lower-Mid Income"
578,64,Male,43175,59,10,35,Electronics,363.86,Seniors,"Good customer","Lower-Mid Income"
579,21,Female,71227,17,10,12,Electronics,101.48,"Young adult","Bad customer","Middle Income"
580,51,Female,149744,99,1,12,Groceries,215.92,Over-fifties,"Great customer",Affluent
581,46,Male,129568,56,10,27,Clothing,766.26,Over-forties,"Good customer",Affluent
582,19,Male,135968,50,4,49,Electronics,174.43,"Young adult","Medium customer",Affluent
583,33,Male,38240,92,3,37,"Home & Garden",626.82,Over-thirties,"Great customer","Lower-Mid Income"
584,30,Male,114808,23,9,6,Clothing,74.08,Over-thirties,"Bad customer","Upper-Mid Income"
585,51,Female,37310,6,5,14,Sports,706.18,Over-fifties,"Bad customer","Lower-Mid Income"
586,62,Other,147903,79,5,22,Electronics,203.15,Seniors,"Great customer",Affluent
587,20,Other,61541,80,2,14,Groceries,48.5,"Young adult","Great customer","Middle Income"
588,47,Other,55753,69,5,40,"Home & Garden",772.89,Over-forties,"Good customer","Lower-Mid Income"
589,29,Other,80868,33,6,15,Clothing,865.65,"Young adult","Medium customer","Middle Income"
590,33,Male,93599,22,4,37,Sports,274.96,Over-thirties,"Bad customer","Upper-Mid Income"
591,53,Male,108263,21,1,47,Electronics,734.48,Over-fifties,"Bad customer","Upper-Mid Income"
592,22,Male,100730,4,5,10,Sports,459.58,"Young adult","Bad customer","Upper-Mid Income"
593,62,Female,148501,41,9,32,Sports,980.47,Seniors,"Medium customer",Affluent
594,29,Other,98150,42,9,34,Sports,324.11,"Young adult","Medium customer","Upper-Mid Income"
595,28,Other,61870,100,6,3,Groceries,728.67,"Young adult","Great customer","Middle Income"
596,46,Male,73370,2,4,29,"Home & Garden",486.5,Over-forties,"Bad customer","Middle Income"
597,50,Male,132598,57,7,21,"Home & Garden",930.91,Over-fifties,"Good customer",Affluent
598,56,Other,55695,58,7,30,Electronics,435.76,Over-fifties,"Good customer","Lower-Mid Income"
599,41,Other,69204,95,4,28,Clothing,936.04,Over-forties,"Great customer","Middle Income"
